State,City,Season,Average,Std dev,,
Tas,Hobart,28,7.3625,2.5769,9.0671,
Tas,Hobart,29,9.0429,2.9707,9.0671,
Tas,Hobart,30,9.3821,2.2526,9.0671,
Tas,Hobart,31,8.9655,2.8805,9.0565,
Tas,Hobart,32,10.1774,2.7716,9.0487,
Tas,Hobart,33,10.378,3.1113,9.0487,
Tas,Hobart,34,8.0685,3.1059,9.0487,
Tas,Hobart,35,7.5917,3.0024,9.3028,
Tas,Hobart,36,9.3958,3.4382,10.8276,
Tas,Hobart,37,13.3905,3.3629,10.8276,
Tas,Hobart,38,11.2119,3.8475,10.8276,
Tas,Hobart,39,9.2696,3.6228,10.8276,
Tas,Hobart,40,11.6952,3.4532,12.6836,
Tas,Hobart,41,11.5595,3.5834,12.9929,
Tas,Hobart,42,16.5369,3.1206,12.9929,
Tas,Hobart,43,12.6393,3.704,12.9929,
Tas,Hobart,44,13.3542,4.6128,13.5424,
Tas,Hobart,45,13.3863,3.4553,14.275,
Tas,Hobart,46,14.0512,4.4452,14.275,
Tas,Hobart,47,14.6798,2.9898,14.275,
Tas,Hobart,48,15.0958,2.6224,14.7041,
Tas,Hobart,49,16.7202,5.0336,17.279,
Tas,Hobart,50,17.0798,3.2416,17.279,
Tas,Hobart,51,15.9277,3.2862,17.279,
Tas,Hobart,52,19.269,4.133,17.279,
Tas,Hobart,53,17.8313,2.4836,17.279,
,,,,,,
State,City,Year,RCP,Value,,
NSW,Sydney,2030,4.5,1.233,,
NSW,Sydney,2030,8.5,1.646,,
NSW,Sydney,2050,4.5,1.864,,
NSW,Sydney,2050,8.5,2.971,,
QLD,Brisbane,2030,4.5,1.405,,
QLD,Brisbane,2030,8.5,1.693,,
QLD,Brisbane,2050,4.5,1.969,,
QLD,Brisbane,2050,8.5,2.773,,
SA,Adelaide,2030,4.5,1.245,,
SA,Adelaide,2030,8.5,1.689,,
SA,Adelaide,2050,4.5,1.872,,
SA,Adelaide,2050,8.5,2.92,,
Vic,Melbourne,2030,4.5,0.981,,
Vic,Melbourne,2030,8.5,1.314,,
Vic,Melbourne,2050,4.5,1.33,,
Vic,Melbourne,2050,8.5,2.211,,
Tas,Hobart,2030,4.5,0.697,,
Tas,Hobart,2030,8.5,0.948,,
Tas,Hobart,2050,4.5,1.151,,
Tas,Hobart,2050,8.5,1.426,,
,,,,,,
State,City,Season,Hour,Average,Std dev,Adj_average
NSW,Sydney,Autumn,0,18.78,3.67,0.925609356
NSW,Sydney,Autumn,1,18.29,3.71,0.901607909
NSW,Sydney,Autumn,2,17.93,3.78,0.883767548
NSW,Sydney,Autumn,3,17.64,3.84,0.869570264
NSW,Sydney,Autumn,4,17.53,3.86,0.864159224
NSW,Sydney,Autumn,5,17.38,3.94,0.856658772
NSW,Sydney,Autumn,6,17.46,4,0.860408998
NSW,Sydney,Autumn,7,17.77,3.99,0.876052798
NSW,Sydney,Autumn,8,19,4.05,0.936592161
NSW,Sydney,Autumn,9,20.56,3.86,1.013364645
NSW,Sydney,Autumn,10,21.64,3.95,1.066671429
NSW,Sydney,Autumn,11,22.74,4.23,1.120674684
NSW,Sydney,Autumn,12,23.26,4.4,1.146444094
NSW,Sydney,Autumn,13,23.66,4.54,1.166213142
NSW,Sydney,Autumn,14,23.76,4.73,1.171088436
NSW,Sydney,Autumn,15,23.44,4.46,1.155337487
