# Weather station Brisbane (airport), Australia, WMO_ID=94578,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94578&lang=en
#
"Local time in Brisbane (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.06.2019 21:00";"15.6";"771.9";"772.7";"0.9";"91";"Wind blowing from the south";"4";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"14.2";"0.4";"6";"";"";"";"";
"27.06.2019 19:00";"16.0";"771.4";"772.3";"1.3";"88";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"27.06.2019 18:00";"17.0";"771.0";"771.8";"1.2";"77";"Wind blowing from the south";"3";"";"";"70 – 80%.";"Precipitation within sight, reaching the ground or the surface of the sea, near to, but not at the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.0";"";"";"";"";"";"";
"27.06.2019 16:00";"19.6";"770.1";"770.9";"0.0";"73";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"27.06.2019 15:00";"21.0";"769.8";"770.6";"-0.8";"62";"Wind blowing from the south-east";"5";"";"";"40%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.5";"Trace of precipitation";"6";"";"";"";"";
"27.06.2019 13:00";"21.3";"770.1";"770.9";"-1.5";"60";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"27.06.2019 12:00";"21.2";"770.6";"771.4";"-1.1";"62";"Wind blowing from the south-east";"4";"";"";"40%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"12.5";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"13.7";"";"";"";"";"";"";
"27.06.2019 10:00";"19.2";"771.6";"772.4";"0.5";"80";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"27.06.2019 09:00";"17.1";"771.7";"772.6";"1.2";"85";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"30.0";"14.5";"7.0";"24";"";"";"";"";
"27.06.2019 07:00";"13.6";"771.1";"772.0";"1.5";"93";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"";"";"";"";"";"";
"27.06.2019 06:00";"12.6";"770.5";"771.3";"0.6";"97";"Wind blowing from the south-southwest";"5";"";"";"10%  or less, but not 0";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"12.2";"";"";"";"";"";"";
"27.06.2019 04:00";"13.4";"769.6";"770.5";"-0.7";"99";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"27.06.2019 03:00";"15.2";"769.9";"770.7";"-0.2";"96";"Wind blowing from the south-southwest";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"15.0";"14.5";"2.0";"6";"";"";"";"";
"27.06.2019 01:00";"15.9";"770.3";"771.1";"-0.2";"96";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"27.06.2019 00:00";"15.7";"770.1";"770.9";"-0.4";"96";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"17.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"20.0";"15.0";"";"";"";"";"";"";
"26.06.2019 22:00";"15.8";"770.5";"771.4";"0.3";"93";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"26.06.2019 21:00";"16.7";"770.5";"771.3";"0.9";"84";"Wind blowing from the south";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"20.0";"14.0";"1.0";"6";"";"";"";"";
"26.06.2019 19:00";"16.3";"770.2";"771.0";"0.9";"85";"Wind blowing from the south";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"26.06.2019 18:00";"16.4";"769.6";"770.5";"0.5";"84";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"20.0";"13.7";"";"";"";"";"";"";
