# Weather station Whyalla (airport), Australia, WMO_ID=95664,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95664&lang=en
#
"Local time in Whyalla (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.12.2018 17:30";"16.4";"758.2";"759.1";"0.3";"45";"Wind blowing from the south-southwest";"13";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"13.12.2018 16:30";"17.0";"757.9";"758.7";"0.1";"43";"Wind blowing from the south-southwest";"11";"";"";"40%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"4.3";"";"";"";"";"";"";
"13.12.2018 14:30";"18.4";"757.9";"758.7";"-0.2";"37";"Wind blowing from the south-southwest";"13";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"13.12.2018 13:30";"17.5";"757.8";"758.6";"-0.1";"44";"Wind blowing from the south-southwest";"14";"";"";"90  or more, but not 100%";" ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"5.1";"0.4";"6";"";"";"";"";
"13.12.2018 11:30";"17.5";"758.1";"758.9";"0.8";"49";"Wind blowing from the south-southwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"13.12.2018 10:30";"18.4";"757.9";"758.8";"0.5";"43";"Wind blowing from the south-southwest";"13";"";"";"100%.";" ";"";"";"14.4";"";"";"";"1000-1500";"";"";"";"5.6";"";"";"";"";"";"";
"13.12.2018 08:30";"17.4";"757.3";"758.2";"0.9";"54";"Wind blowing from the south-southwest";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"13.12.2018 07:30";"15.6";"757.4";"758.2";"1.3";"66";"Wind blowing from the south-west";"9";"";"";"60%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"9.3";"5.0";"24";"";"";"";"";
"13.12.2018 05:30";"14.6";"756.4";"757.3";"1.2";"81";"Wind blowing from the south-west";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"13.12.2018 04:30";"15.2";"756.1";"757.0";"0.9";"80";"Wind blowing from the south-west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"13.12.2018 02:30";"17.1";"755.2";"756.1";"0.7";"80";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"13.12.2018 01:30";"17.3";"755.2";"756.0";"1.1";"77";"Wind blowing from the south-west";"7";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"13.2";"No precipitation";"6";"";"";"";"";
"12.12.2018 23:30";"19.2";"754.5";"755.3";"2.9";"77";"Wind blowing from the south-southwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"12.12.2018 22:30";"19.2";"754.1";"754.9";"3.1";"75";"Wind blowing from the south-west";"9";"";"";"";" ";"";"";"";"34.2";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"12.12.2018 20:30";"24.4";"751.6";"752.5";"2.5";"68";"Wind blowing from the south-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"";"";"";"";"";"";
"12.12.2018 19:30";"23.8";"751.0";"751.8";"1.7";"85";"Wind blowing from the west";"4";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"21.1";"5.0";"6";"";"";"";"";
"12.12.2018 17:30";"29.9";"749.1";"749.9";"-1.9";"35";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"12.12.2018 16:30";"30.9";"749.3";"750.1";"-2.1";"37";"Wind blowing from the south";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"14.5";"";"";"";"";"";"";
"12.12.2018 14:30";"32.0";"751.0";"751.9";"-1.8";"28";"Wind blowing from the north";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"12.12.2018 13:30";"32.6";"751.4";"752.2";"-1.5";"28";"Wind blowing from the north";"8";"";"";"60%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.7";"No precipitation";"6";"";"";"";"";
"12.12.2018 11:30";"31.0";"752.8";"753.6";"-0.9";"30";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"12.12.2018 10:30";"30.9";"752.9";"753.7";"-1.0";"31";"Wind blowing from the north-northwest";"5";"";"";"100%.";" ";"";"";"18.9";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.8";"";"";"";"";"";"";
"12.12.2018 08:30";"26.7";"753.7";"754.5";"0.4";"38";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"12.12.2018 07:30";"25.5";"753.9";"754.7";"0.5";"43";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"12.0";"No precipitation";"24";"";"";"";"";
"12.12.2018 05:30";"19.4";"753.3";"754.1";"0.5";"57";"Wind blowing from the north-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"12.12.2018 04:30";"19.4";"753.4";"754.2";"0.3";"57";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"12.12.2018 02:30";"21.0";"752.8";"753.7";"-1.8";"53";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"12.12.2018 01:30";"21.0";"753.1";"754.0";"-2.0";"53";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"No precipitation";"6";"";"";"";"";
"11.12.2018 23:30";"24.2";"754.6";"755.5";"-1.1";"45";"Wind blowing from the north-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"11.12.2018 22:30";"24.2";"755.1";"755.9";"-0.7";"46";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.7";"";"";"2500 or more, or no clouds.";"";"";"";"11.9";"";"";"";"";"";"";
"11.12.2018 20:30";"25.4";"755.7";"756.5";"0.5";"40";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"11.12.2018 19:30";"25.2";"755.8";"756.6";"0.6";"45";"Wind blowing from the south-southwest";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"12.4";"No precipitation";"6";"";"";"";"";
"11.12.2018 17:30";"25.8";"755.2";"756.1";"-0.9";"54";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"11.12.2018 16:30";"26.9";"755.2";"756.0";"-1.1";"48";"Wind blowing from the south";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"15.0";"";"";"";"";"";"";
"11.12.2018 14:30";"29.8";"756.1";"756.9";"-1.9";"35";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
"11.12.2018 13:30";"29.9";"756.3";"757.1";"-1.9";"32";"Wind blowing from the south-east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.4";"No precipitation";"6";"";"";"";"";
"11.12.2018 11:30";"28.1";"758.0";"758.8";"-1.0";"34";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"11.12.2018 10:30";"27.1";"758.2";"759.1";"-0.9";"38";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"16.2";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"11.12.2018 08:30";"23.5";"759.0";"759.8";"0.0";"59";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"11.12.2018 07:30";"22.0";"759.1";"759.9";"0.4";"66";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"No precipitation";"24";"";"";"";"";
"11.12.2018 05:30";"16.8";"759.0";"759.8";"0.4";"83";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"11.12.2018 04:30";"16.5";"758.7";"759.5";"0.1";"87";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"11.12.2018 02:30";"18.8";"758.6";"759.4";"-1.4";"80";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"11.12.2018 01:30";"18.5";"758.6";"759.4";"-1.7";"81";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"No precipitation";"6";"";"";"";"";
"10.12.2018 23:30";"20.0";"760.0";"760.9";"-0.2";"69";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"10.12.2018 22:30";"20.2";"760.3";"761.1";"0.2";"67";"Wind blowing from the south";"7";"";"";"40%.";" ";"";"";"";"28.8";"";"";"2500 or more, or no clouds.";"";"";"";"13.9";"";"";"";"";"";"";
"10.12.2018 20:30";"21.8";"760.2";"761.0";"0.8";"62";"Wind blowing from the south-southwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"10.12.2018 19:30";"22.2";"760.1";"760.9";"0.5";"62";"Wind blowing from the south-southwest";"8";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"14.6";"No precipitation";"6";"";"";"";"";
"10.12.2018 17:30";"24.3";"759.4";"760.3";"-0.7";"50";"Wind blowing from the south";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"10.12.2018 16:30";"24.1";"759.6";"760.4";"-0.4";"49";"Wind blowing from the south-southwest";"10";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"12.7";"";"";"";"";"";"";
"10.12.2018 14:30";"25.7";"760.1";"760.9";"-1.3";"42";"Wind blowing from the south";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"10.12.2018 13:30";"26.3";"760.0";"760.9";"-1.5";"38";"Wind blowing from the south";"11";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"10.12.2018 11:30";"24.2";"761.4";"762.2";"-0.2";"51";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"10.12.2018 10:30";"23.2";"761.5";"762.4";"-0.1";"53";"Wind blowing from the south";"9";"";"";"";" ";"";"";"16.6";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"10.12.2018 08:30";"20.4";"761.6";"762.4";"-0.2";"59";"Wind blowing from the south";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"10.12.2018 07:30";"20.5";"761.6";"762.4";"0.0";"59";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"No precipitation";"24";"";"";"";"";
"10.12.2018 05:30";"16.8";"761.8";"762.6";"0.6";"84";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"10.12.2018 04:30";"16.8";"761.6";"762.4";"0.6";"84";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"10.12.2018 02:30";"17.3";"761.2";"762.1";"-1.2";"82";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"10.12.2018 01:30";"17.5";"761.0";"761.8";"-1.2";"80";"Wind blowing from the south";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"14.0";"No precipitation";"6";"";"";"";"";
"09.12.2018 23:30";"19.5";"762.4";"763.3";"0.3";"72";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"09.12.2018 22:30";"19.4";"762.2";"763.0";"0.1";"79";"Wind blowing from the south";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"25.3";"";"";"2500 or more, or no clouds.";"";"";"";"15.7";"";"";"";"";"";"";
"09.12.2018 20:30";"20.1";"762.1";"762.9";"1.6";"67";"Wind blowing from the south-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"09.12.2018 19:30";"20.3";"762.1";"763.0";"1.9";"67";"Wind blowing from the south-southwest";"7";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"14.0";"No precipitation";"6";"";"";"";"";
"09.12.2018 17:30";"22.5";"760.5";"761.3";"0.8";"60";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"09.12.2018 16:30";"22.8";"760.2";"761.0";"0.6";"59";"Wind blowing from the south";"8";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"14.4";"";"";"";"";"";"";
"09.12.2018 14:30";"24.0";"759.7";"760.6";"0.3";"62";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"09.12.2018 13:30";"24.1";"759.6";"760.4";"0.2";"64";"Wind blowing from the south";"8";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.9";"No precipitation";"6";"";"";"";"";
"09.12.2018 11:30";"22.9";"759.4";"760.3";"-0.9";"72";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"";"";"";"";"";"";
"09.12.2018 10:30";"22.5";"759.4";"760.3";"-0.9";"69";"Wind blowing from the south";"5";"";"";"90  or more, but not 100%";" ";"";"";"17.7";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.5";"";"";"";"";"";"";
"09.12.2018 08:30";"21.2";"760.3";"761.2";"0.1";"77";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.0";"";"";"";"";"";"";
"09.12.2018 07:30";"21.1";"760.3";"761.2";"0.3";"78";"Wind blowing from the south";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"No precipitation";"24";"";"";"";"";
"09.12.2018 05:30";"18.0";"760.2";"761.0";"0.5";"89";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"09.12.2018 04:30";"17.8";"760.0";"760.8";"0.3";"89";"Wind blowing from the south-southwest";"5";"";"";"60%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.0";"";"";"";"";"";"";
"09.12.2018 02:30";"17.9";"759.7";"760.5";"-0.6";"89";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"";"";"";"";"";"";
"09.12.2018 01:30";"17.9";"759.7";"760.5";"-0.7";"87";"Wind blowing from the south-southwest";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"15.7";"No precipitation";"6";"";"";"";"";
"08.12.2018 23:30";"19.1";"760.3";"761.1";"-0.3";"84";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"08.12.2018 22:30";"19.2";"760.4";"761.2";"0.1";"83";"Wind blowing from the south";"7";"";"";"20–30%.";" ";"";"";"";"26.0";"";"";"2500 or more, or no clouds.";"";"";"";"16.2";"";"";"";"";"";"";
"08.12.2018 20:30";"20.2";"760.6";"761.5";"-0.1";"85";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"";"";"";"";"";"";
"08.12.2018 19:30";"20.1";"760.3";"761.1";"-0.4";"85";"Wind blowing from the south";"8";"";"";"60%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"17.5";"No precipitation";"6";"";"";"";"";
"08.12.2018 17:30";"21.3";"760.7";"761.5";"0.2";"76";"Wind blowing from the south-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"";"";"";"";"";"";
"08.12.2018 16:30";"22.0";"760.7";"761.5";"-0.2";"77";"Wind blowing from the south-southwest";"9";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"17.8";"";"";"";"";"";"";
"08.12.2018 14:30";"20.8";"760.5";"761.3";"-1.3";"81";"Wind blowing from the south";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"";"";"";"";"";"";
"08.12.2018 13:30";"21.5";"760.9";"761.7";"-1.0";"78";"Wind blowing from the south";"11";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"17.5";"No precipitation";"6";"";"";"";"";
"08.12.2018 11:30";"25.8";"761.8";"762.7";"0.9";"58";"Wind blowing from the south-southwest";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"";"";"";"";"";"";
"08.12.2018 10:30";"23.4";"761.9";"762.7";"1.0";"70";"Wind blowing from the south-southwest";"9";"";"";"50%.";" ";"";"";"20.2";"";"";"";"2500 or more, or no clouds.";"";"";"";"17.6";"";"";"";"";"";"";
"08.12.2018 08:30";"21.2";"760.9";"761.7";"1.8";"81";"Wind blowing from the south";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"08.12.2018 07:30";"20.9";"760.9";"761.8";"1.9";"82";"Wind blowing from the south";"10";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"17.7";"No precipitation";"24";"";"";"";"";
"08.12.2018 05:30";"20.8";"759.1";"759.9";"-0.3";"84";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.0";"";"";"";"";"";"";
"08.12.2018 04:30";"20.7";"759.0";"759.8";"-0.3";"82";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"17.5";"";"";"";"";"";"";
"08.12.2018 02:30";"20.2";"759.4";"760.3";"-0.6";"84";"Wind blowing from the south-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"";"";"";"";"";"";
"08.12.2018 01:30";"20.7";"759.3";"760.1";"-0.7";"86";"Wind blowing from the south-southwest";"7";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"18.3";"No precipitation";"6";"";"";"";"";
"07.12.2018 23:30";"21.3";"760.0";"760.8";"1.6";"77";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"07.12.2018 22:30";"21.5";"760.0";"760.8";"1.8";"75";"Wind blowing from the south";"9";"";"";"100%.";" ";"";"";"";"41.1";"";"";"2500 or more, or no clouds.";"";"";"";"16.9";"";"";"";"";"";"";
"07.12.2018 20:30";"23.3";"758.4";"759.2";"2.3";"67";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"";"";"";"";"";"";
"07.12.2018 19:30";"23.7";"758.2";"759.0";"2.5";"64";"Wind blowing from the south";"6";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.5";"No precipitation";"6";"";"";"";"";
"07.12.2018 17:30";"25.8";"756.1";"756.9";"0.6";"56";"Wind blowing from the south";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.4";"";"";"";"";"";"";
"07.12.2018 16:30";"25.7";"755.7";"756.5";"0.1";"55";"Wind blowing from the south";"10";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"16.0";"";"";"";"";"";"";
"07.12.2018 14:30";"39.7";"755.5";"756.3";"-1.3";"12";"Wind blowing from the north-west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"07.12.2018 13:30";"40.6";"755.6";"756.4";"-1.3";"13";"Wind blowing from the north-northwest";"8";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.8";"No precipitation";"6";"";"";"";"";
"07.12.2018 11:30";"37.6";"756.8";"757.6";"-0.6";"18";"Wind blowing from the north";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"07.12.2018 10:30";"36.9";"756.9";"757.7";"-0.4";"19";"Wind blowing from the north";"11";"";"";"70 – 80%.";" ";"";"";"21.9";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.5";"";"";"";"";"";"";
"07.12.2018 08:30";"35.8";"757.4";"758.2";"1.6";"21";"Wind blowing from the north";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"07.12.2018 07:30";"35.9";"757.3";"758.2";"1.8";"20";"Wind blowing from the north-northwest";"8";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"9.4";"No precipitation";"24";"";"";"";"";
"07.12.2018 05:30";"30.0";"755.8";"756.6";"0.9";"20";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"07.12.2018 04:30";"30.2";"755.5";"756.3";"0.6";"19";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"07.12.2018 02:30";"23.9";"754.9";"755.7";"-0.2";"22";"Wind blowing from the north-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"07.12.2018 01:30";"23.3";"754.9";"755.8";"-0.5";"25";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"No precipitation";"6";"";"";"";"";
"06.12.2018 23:30";"22.2";"755.1";"755.9";"-0.2";"56";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"06.12.2018 22:30";"21.9";"755.4";"756.2";"0.0";"47";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"40.4";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"06.12.2018 20:30";"27.0";"755.3";"756.1";"0.7";"41";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"06.12.2018 19:30";"28.3";"755.4";"756.2";"0.8";"31";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"No precipitation";"6";"";"";"";"";
"06.12.2018 17:30";"37.7";"754.6";"755.5";"-0.9";"10";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.9";"";"";"";"";"";"";
"06.12.2018 16:30";"37.5";"754.6";"755.4";"-1.1";"11";"Wind blowing from the east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"06.12.2018 14:30";"39.1";"755.5";"756.4";"-1.6";"9";"Wind blowing from the north";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"06.12.2018 13:30";"39.3";"755.7";"756.5";"-1.6";"9";"Wind blowing from the north-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"No precipitation";"6";"";"";"";"";
"06.12.2018 11:30";"37.3";"757.1";"757.9";"-1.2";"11";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"06.12.2018 10:30";"36.9";"757.3";"758.2";"-1.0";"11";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"17.8";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"06.12.2018 08:30";"34.5";"758.3";"759.1";"0.7";"13";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"06.12.2018 07:30";"33.7";"758.3";"759.1";"0.7";"14";"Wind blowing from the north-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"No precipitation";"24";"";"";"";"";
"06.12.2018 05:30";"18.0";"757.6";"758.5";"0.2";"39";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"06.12.2018 04:30";"18.4";"757.6";"758.4";"0.0";"36";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"06.12.2018 02:30";"19.5";"757.4";"758.2";"-0.6";"41";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"06.12.2018 01:30";"20.6";"757.6";"758.4";"-0.4";"38";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"No precipitation";"6";"";"";"";"";
"05.12.2018 23:30";"23.9";"758.0";"758.8";"0.1";"37";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"05.12.2018 22:30";"25.1";"758.0";"758.8";"0.3";"34";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"35.4";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"05.12.2018 20:30";"25.4";"757.9";"758.7";"0.6";"45";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"05.12.2018 19:30";"25.8";"757.7";"758.5";"0.5";"37";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"No precipitation";"6";"";"";"";"";
"05.12.2018 17:30";"32.6";"757.3";"758.1";"-0.7";"18";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"05.12.2018 16:30";"33.0";"757.2";"758.0";"-1.1";"18";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
