# Weather station Taree (airport), Australia, WMO_ID=95784,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=95784&lang=en
#
"Local time in Taree (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"24.10.2018 20:00";"17.7";"765.8";"766.6";"1.7";"81";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"14.4";"No precipitation";"6";"";"";"";"";
"24.10.2018 18:00";"17.4";"764.6";"765.4";"1.7";"86";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"24.10.2018 17:00";"17.9";"764.1";"764.9";"1.4";"83";"Wind blowing from the south";"6";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"300-600";"";"";"";"15.0";"";"";"";"";"";"";
"24.10.2018 15:00";"19.5";"762.9";"763.7";"0.2";"75";"Wind blowing from the south-southeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"24.10.2018 14:00";"20.9";"762.7";"763.6";"0.0";"66";"Wind blowing from the south";"7";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"14.3";"No precipitation";"6";"";"";"";"";
"24.10.2018 12:00";"23.0";"762.7";"763.5";"0.1";"63";"Wind blowing from the south-southwest";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"24.10.2018 11:00";"22.7";"762.7";"763.5";"0.3";"61";"Wind blowing from the south-southwest";"7";"";"";"90  or more, but not 100%";"No significant weather observed. ";"";"";"14.9";"";"";"";"600-1000";"";"";"";"14.8";"";"";"";"";"";"";
"24.10.2018 09:00";"21.3";"762.6";"763.4";"2.0";"68";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"24.10.2018 08:00";"19.9";"762.4";"763.2";"3.3";"77";"Wind blowing from the south-southwest";"7";"";"";"60%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"15.7";"No precipitation";"24";"";"";"";"";
"24.10.2018 06:00";"18.2";"760.6";"761.4";"2.2";"91";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.7";"";"";"";"";"";"";
"24.10.2018 05:00";"15.6";"759.1";"759.9";"0.6";"100";"Wind blowing from the west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"24.10.2018 03:00";"16.2";"758.4";"759.2";"-0.9";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"24.10.2018 02:00";"16.9";"758.5";"759.4";"-1.2";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.9";"No precipitation";"6";"";"";"";"";
"24.10.2018 00:00";"18.2";"759.3";"760.1";"-0.5";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"";"";"";"";"";"";
"23.10.2018 23:00";"18.4";"759.7";"760.6";"0.0";"93";"Wind blowing from the east-northeast";"2";"";"";"";"No significant weather observed. ";"";"";"";"26.9";"";"";"";"";"";"";"17.2";"";"";"";"";"";"";
"23.10.2018 21:00";"19.7";"759.8";"760.6";"1.0";"89";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"23.10.2018 20:00";"19.3";"759.7";"760.6";"1.5";"90";"Wind blowing from the east-northeast";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"17.6";"No precipitation";"6";"";"";"";"";
"23.10.2018 18:00";"22.6";"758.8";"759.6";"0.8";"76";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"23.10.2018 17:00";"24.7";"758.2";"759.1";"-0.2";"67";"Wind blowing from the east-northeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"23.10.2018 15:00";"26.0";"758.0";"758.8";"-1.7";"64";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.7";"";"";"";"";"";"";
"23.10.2018 14:00";"26.3";"758.4";"759.2";"-1.9";"65";"Wind blowing from the east";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"19.2";"No precipitation";"6";"";"";"";"";
"23.10.2018 12:00";"26.2";"759.7";"760.5";"-1.4";"66";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.3";"";"";"";"";"";"";
"23.10.2018 11:00";"25.2";"760.3";"761.1";"-1.0";"60";"Wind blowing from the south-east";"2";"";"";"";"No significant weather observed. ";"";"";"13.3";"";"";"";"";"";"";"";"16.9";"";"";"";"";"";"";
"23.10.2018 09:00";"21.6";"761.1";"761.9";"0.1";"73";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";
"23.10.2018 08:00";"20.0";"761.3";"762.1";"0.7";"80";"Wind blowing from the east";"2";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"16.4";"No precipitation";"24";"";"";"";"";
"23.10.2018 06:00";"14.6";"761.0";"761.8";"0.9";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"23.10.2018 05:00";"13.7";"760.6";"761.4";"0.4";"100";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"Less than  50";"";"";"";"13.7";"";"";"";"";"";"";
"23.10.2018 03:00";"15.0";"760.1";"760.9";"-1.1";"100";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"23.10.2018 02:00";"14.8";"760.2";"761.0";"-1.6";"99";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"Less than  50";"";"";"";"14.6";"No precipitation";"6";"";"";"";"";
"23.10.2018 00:00";"15.9";"761.2";"762.1";"-1.1";"99";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"22.10.2018 23:00";"16.5";"761.8";"762.7";"-0.4";"99";"Calm, no wind";"0";"";"";"";"No significant weather observed. ";"";"";"";"23.3";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"22.10.2018 21:00";"17.1";"762.3";"763.1";"0.8";"94";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"";"";"";"";"";"";
"22.10.2018 20:00";"17.7";"762.2";"763.0";"1.2";"91";"Wind blowing from the north-northeast";"2";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"";"";"";"";"16.2";"No precipitation";"6";"";"";"";"";
"22.10.2018 18:00";"19.5";"761.5";"762.3";"0.7";"77";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"22.10.2018 17:00";"20.8";"761.0";"761.8";"-0.1";"69";"Wind blowing from the east-southeast";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"22.10.2018 15:00";"21.7";"760.8";"761.6";"-1.0";"69";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"22.10.2018 14:00";"21.7";"761.1";"761.9";"-1.2";"71";"Wind blowing from the east";"5";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"600-1000";"";"";"";"16.2";"No precipitation";"6";"";"";"";"";
"22.10.2018 12:00";"22.1";"761.8";"762.7";"-1.2";"65";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"22.10.2018 11:00";"21.8";"762.3";"763.1";"-0.5";"69";"Wind blowing from the east-southeast";"5";"";"";"40%.";"No significant weather observed. ";"";"";"17.5";"";"";"";"600-1000";"";"";"";"15.9";"";"";"";"";"";"";
"22.10.2018 09:00";"20.5";"763.0";"763.8";"0.9";"77";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"22.10.2018 08:00";"19.9";"762.8";"763.6";"1.2";"80";"Wind blowing from the south";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"16.3";"No precipitation";"24";"";"";"";"";
"22.10.2018 06:00";"18.4";"762.1";"763.0";"1.0";"90";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.7";"";"";"";"";"";"";
"22.10.2018 05:00";"17.8";"761.6";"762.4";"0.6";"92";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"16.5";"";"";"";"";"";"";
"22.10.2018 03:00";"17.9";"761.1";"761.9";"-0.5";"92";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";
"22.10.2018 02:00";"17.5";"761.0";"761.8";"-0.9";"92";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"16.2";"No precipitation";"6";"";"";"";"";
"22.10.2018 00:00";"18.4";"761.6";"762.4";"-0.7";"89";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";
"21.10.2018 23:00";"18.1";"761.9";"762.7";"0.1";"89";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"";"";"";"23.5";"";"";"300-600";"";"";"";"16.3";"";"";"";"";"";"";
"21.10.2018 21:00";"18.7";"762.3";"763.1";"1.4";"87";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"";"";"";"";"";"";
"21.10.2018 20:00";"18.8";"761.8";"762.7";"1.4";"87";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"16.6";"No precipitation";"6";"";"";"";"";
"21.10.2018 18:00";"19.0";"760.9";"761.7";"1.4";"87";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"";"";"";"";"";"";
"21.10.2018 17:00";"19.4";"760.4";"761.2";"1.2";"84";"Wind blowing from the south-southwest";"6";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"16.6";"";"";"";"";"";"";
"21.10.2018 15:00";"21.0";"759.5";"760.3";"-0.3";"81";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"";"";"";"";"";"";
"21.10.2018 14:00";"21.0";"759.2";"760.0";"-1.1";"77";"Wind blowing from the south";"6";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"16.8";"No precipitation";"6";"";"";"";"";
"21.10.2018 12:00";"23.1";"759.8";"760.6";"-0.9";"74";"Wind blowing from the south";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"21.10.2018 11:00";"21.9";"760.3";"761.1";"0.0";"77";"Wind blowing from the south";"4";"";"";"10%  or less, but not 0";" ";"";"";"17.6";"";"";"";"300-600";"";"";"";"17.7";"";"";"";"";"";"";
"21.10.2018 09:00";"19.8";"760.7";"761.5";"0.9";"92";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.5";"";"";"";"";"";"";
"21.10.2018 08:00";"19.2";"760.3";"761.2";"1.3";"99";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"Precipitation";"Precipitation";"";"";"";"";"100-200";"";"";"";"19.0";"29.0";"24";"";"";"";"";
"21.10.2018 06:00";"17.9";"759.8";"760.6";"1.3";"100";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"";"";"";"";"";"";
"21.10.2018 05:00";"17.8";"759.0";"759.8";"-0.2";"100";"Wind blowing from the west-southwest";"3";"";"";"10%  or less, but not 0";" ";"";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"17.8";"";"";"";"";"";"";
"21.10.2018 03:00";"17.8";"758.5";"759.3";"-1.5";"100";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"21.10.2018 02:00";"18.0";"759.2";"760.0";"-1.4";"100";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"18.0";"29.0";"6";"";"";"";"";
"21.10.2018 00:00";"18.2";"760.0";"760.8";"-1.5";"100";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"20.10.2018 23:00";"18.5";"760.6";"761.5";"1.0";"100";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Precipitation, heavy. ";"";"Precipitation";"";"29.0";"";"";"1500-2000";"";"";"";"18.5";"";"";"";"";"";"";
"20.10.2018 21:00";"18.9";"761.5";"762.4";"4.2";"95";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"";"";"";"";"";"";
"20.10.2018 20:00";"21.1";"759.6";"760.4";"2.4";"81";"Wind blowing from the south";"4";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"17.7";"No precipitation";"6";"";"";"";"";
"20.10.2018 18:00";"22.0";"757.3";"758.2";"0.7";"79";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"20.10.2018 17:00";"23.0";"757.2";"758.0";"-0.3";"76";"Wind blowing from the east-northeast";"5";"";"";"10%  or less, but not 0";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"18.5";"";"";"";"";"";"";
"20.10.2018 15:00";"25.7";"756.6";"757.4";"-1.9";"65";"Wind blowing from the east-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"";"";"";"";"";"";
"20.10.2018 14:00";"26.4";"757.5";"758.3";"-1.6";"63";"Wind blowing from the east-northeast";"6";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"18.8";"No precipitation";"6";"";"";"";"";
"20.10.2018 12:00";"26.8";"758.5";"759.4";"-1.9";"64";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.4";"";"";"";"";"";"";
"20.10.2018 11:00";"27.3";"759.1";"759.9";"-1.6";"60";"Wind blowing from the east-northeast";"4";"";"";"";"No significant weather observed. ";"";"";"15.6";"";"";"";"";"";"";"";"18.9";"";"";"";"";"";"";
"20.10.2018 09:00";"23.9";"760.4";"761.2";"-0.5";"69";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.9";"";"";"";"";"";"";
"20.10.2018 08:00";"21.4";"760.7";"761.5";"0.1";"75";"Wind blowing from the north-east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"16.8";"No precipitation";"24";"";"";"";"";
"20.10.2018 06:00";"16.5";"760.9";"761.8";"0.3";"98";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"20.10.2018 05:00";"16.1";"760.6";"761.4";"-0.3";"98";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"20.10.2018 03:00";"17.2";"760.6";"761.5";"-1.2";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"";"";"";"";"";"";
"20.10.2018 02:00";"18.0";"760.9";"761.7";"-1.2";"90";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"No precipitation";"6";"";"";"";"";
"20.10.2018 00:00";"18.9";"761.8";"762.6";"-0.6";"85";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"19.10.2018 23:00";"18.9";"762.1";"763.0";"-0.1";"85";"Wind blowing from the north-east";"5";"";"";"";"No significant weather observed. ";"";"";"";"27.5";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"19.10.2018 21:00";"19.3";"762.4";"763.2";"1.5";"84";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.5";"";"";"";"";"";"";
"19.10.2018 20:00";"19.4";"762.2";"763.0";"1.7";"83";"Wind blowing from the north-east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"16.4";"No precipitation";"6";"";"";"";"";
"19.10.2018 18:00";"21.3";"760.9";"761.7";"0.6";"77";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"19.10.2018 17:00";"23.4";"760.5";"761.3";"0.1";"70";"Wind blowing from the east-northeast";"6";"";"";"40%.";"No significant weather observed. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"17.6";"";"";"";"";"";"";
"19.10.2018 15:00";"26.2";"760.3";"761.2";"-1.2";"60";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"19.10.2018 14:00";"26.2";"760.4";"761.2";"-1.6";"61";"Wind blowing from the east-northeast";"7";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"18.1";"No precipitation";"6";"";"";"";"";
"19.10.2018 12:00";"26.7";"761.5";"762.3";"-1.5";"58";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"19.10.2018 11:00";"25.9";"762.0";"762.8";"-1.2";"56";"Wind blowing from the north-east";"3";"";"";"";"No significant weather observed. ";"";"";"17.4";"";"";"";"";"";"";"";"16.5";"";"";"";"";"";"";
"19.10.2018 09:00";"23.2";"763.0";"763.9";"-0.1";"64";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"19.10.2018 08:00";"21.8";"763.2";"764.0";"0.5";"70";"Wind blowing from the north-east";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"16.1";"0.6";"24";"";"";"";"";
"19.10.2018 06:00";"18.9";"763.1";"763.9";"0.9";"85";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"";"";"";"";"";"";
"19.10.2018 05:00";"17.9";"762.7";"763.6";"0.4";"90";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"19.10.2018 03:00";"18.2";"762.2";"763.0";"-1.0";"87";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"19.10.2018 02:00";"18.7";"762.3";"763.1";"-1.3";"86";"Wind blowing from the north-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.3";"No precipitation";"6";"";"";"";"";
"19.10.2018 00:00";"19.0";"763.2";"764.0";"-0.5";"88";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.0";"";"";"";"";"";"";
"18.10.2018 23:00";"18.9";"763.6";"764.5";"0.1";"88";"Wind blowing from the north-northeast";"3";"";"";"70 – 80%.";" ";"";"";"";"22.7";"";"";"600-1000";"";"";"";"16.9";"";"";"";"";"";"";
"18.10.2018 21:00";"19.0";"763.7";"764.5";"0.9";"87";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"";"";"";"";"";"";
"18.10.2018 20:00";"19.1";"763.5";"764.3";"1.2";"88";"Wind blowing from the north-east";"5";"";"";"10%  or less, but not 0";" ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"17.1";"0.2";"6";"";"";"";"";
"18.10.2018 18:00";"19.9";"762.8";"763.6";"1.2";"86";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.5";"";"";"";"";"";"";
"18.10.2018 17:00";"20.3";"762.3";"763.1";"0.5";"82";"Wind blowing from the north-northeast";"5";"";"";"70 – 80%.";" ";"";"Precipitation";"";"";"";"";"600-1000";"";"";"";"17.1";"";"";"";"";"";"";
"18.10.2018 15:00";"21.4";"761.6";"762.4";"-1.2";"82";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.2";"";"";"";"";"";"";
"18.10.2018 14:00";"22.0";"761.8";"762.6";"-1.4";"79";"Wind blowing from the north-east";"7";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"18.2";"0.4";"6";"";"";"";"";
"18.10.2018 12:00";"21.5";"762.8";"763.6";"-0.8";"83";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.5";"";"";"";"";"";"";
"18.10.2018 11:00";"21.9";"763.2";"764.0";"-0.1";"82";"Wind blowing from the north-east";"6";"";"";"100%.";" ";"";"";"18.5";"";"";"";"300-600";"";"";"";"18.7";"";"";"";"";"";"";
"18.10.2018 09:00";"21.1";"763.6";"764.5";"1.0";"81";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"";"";"";"";"";"";
"18.10.2018 08:00";"20.6";"763.3";"764.2";"1.2";"83";"Wind blowing from the north-east";"4";"";"";"50%.";" ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"17.6";"26.0";"24";"";"";"";"";
"18.10.2018 06:00";"19.2";"762.6";"763.4";"1.2";"91";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.7";"";"";"";"";"";"";
"18.10.2018 05:00";"19.0";"762.1";"762.9";"0.5";"93";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"Precipitation";"";"";"";"";"300-600";"";"";"";"17.8";"";"";"";"";"";"";
"18.10.2018 03:00";"19.0";"761.4";"762.2";"-1.0";"93";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"18.10.2018 02:00";"18.9";"761.6";"762.4";"-0.9";"94";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"17.9";"6.0";"6";"";"";"";"";
"18.10.2018 00:00";"18.8";"762.4";"763.2";"-0.5";"98";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.5";"";"";"";"";"";"";
"17.10.2018 23:00";"18.7";"762.5";"763.3";"-0.1";"98";"Wind blowing from the north-east";"4";"";"";"90  or more, but not 100%";"Precipitation ";"";"Precipitation";"";"23.3";"";"";"300-600";"";"";"";"18.4";"";"";"";"";"";"";
"17.10.2018 21:00";"18.8";"762.9";"763.7";"1.1";"99";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"";"";"";"";"";"";
"17.10.2018 20:00";"18.8";"762.6";"763.4";"1.2";"99";"Wind blowing from the north-east";"6";"";"";"100%.";"Precipitation, slight or moderate. ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"18.6";"15.0";"6";"";"";"";"";
"17.10.2018 18:00";"19.0";"761.8";"762.6";"0.9";"91";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.5";"";"";"";"";"";"";
"17.10.2018 17:00";"20.4";"761.4";"762.2";"0.3";"86";"Wind blowing from the east-northeast";"6";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"18.0";"";"";"";"";"";"";
"17.10.2018 15:00";"21.5";"760.9";"761.7";"-1.5";"78";"Wind blowing from the east-northeast";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.5";"";"";"";"";"";"";
"17.10.2018 14:00";"22.1";"761.1";"761.9";"-1.6";"81";"Wind blowing from the east-northeast";"8";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"18.7";"5.0";"6";"";"";"";"";
"17.10.2018 12:00";"20.5";"762.4";"763.2";"-1.1";"94";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.5";"";"";"";"";"";"";
"17.10.2018 11:00";"22.7";"762.7";"763.5";"-0.7";"74";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"17.6";"";"";"";"600-1000";"";"";"";"17.8";"";"";"";"";"";"";
"17.10.2018 09:00";"21.2";"763.5";"764.3";"0.3";"81";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"17.10.2018 08:00";"20.0";"763.4";"764.2";"0.5";"88";"Wind blowing from the north-east";"5";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"18.0";"6.0";"24";"";"";"";"";
"17.10.2018 06:00";"18.5";"763.2";"764.0";"0.7";"100";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.5";"";"";"";"";"";"";
"17.10.2018 05:00";"18.4";"762.9";"763.7";"-0.1";"100";"Wind blowing from the north-east";"4";"";"";"100%.";" ";"";"Precipitation";"";"";"";"";"200-300";"";"";"";"18.4";"";"";"";"";"";"";
"17.10.2018 03:00";"18.1";"762.5";"763.3";"-1.7";"100";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.1";"";"";"";"";"";"";
"17.10.2018 02:00";"18.1";"763.0";"763.9";"-1.2";"100";"Wind blowing from the east-northeast";"5";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"100-200";"";"";"";"18.1";"3.0";"6";"";"";"";"";
"17.10.2018 00:00";"18.0";"764.2";"765.0";"-0.6";"100";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.0";"";"";"";"";"";"";
"16.10.2018 23:00";"17.9";"764.2";"765.0";"-0.4";"99";"Wind blowing from the east-northeast";"5";"";"";"90  or more, but not 100%";" ";"";"Precipitation";"";"22.5";"";"";"200-300";"";"";"";"17.7";"";"";"";"";"";"";
"16.10.2018 21:00";"17.6";"764.8";"765.6";"0.5";"99";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.4";"";"";"";"";"";"";
