# Weather station Morwell (airport), Australia, WMO_ID=94891,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94891&lang=en
#
"Local time in Morwell (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.11.2018 14:00";"22.9";"758.8";"763.8";"-0.9";"42";"Wind blowing from the west-southwest";"6";"";"";"40%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"9.3";"No precipitation";"6";"";"";"";"";
"16.11.2018 12:00";"21.7";"759.2";"764.2";"-1.4";"44";"Wind blowing from the west-northwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"16.11.2018 11:00";"20.7";"759.7";"764.7";"-1.2";"40";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"4.8";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"16.11.2018 09:00";"17.1";"760.6";"765.6";"-0.1";"47";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"16.11.2018 08:00";"15.0";"760.9";"766.0";"0.4";"64";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"0.2";"24";"";"";"";"";
"16.11.2018 06:00";"9.0";"760.7";"765.7";"-0.2";"94";"Wind blowing from the east-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"16.11.2018 05:00";"7.4";"760.5";"765.5";"-1.3";"93";"Wind blowing from the east-southeast";"2";"";"";"50%.";" ";"";"";"";"";"";"";"200-300";"";"";"";"6.3";"";"";"";"";"";"";
"16.11.2018 03:00";"6.9";"760.9";"766.0";"-2.2";"92";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"16.11.2018 02:00";"6.2";"761.8";"766.9";"-2.0";"90";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"No precipitation";"6";"";"";"";"";
"16.11.2018 00:00";"9.0";"763.1";"768.2";"-0.7";"85";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"15.11.2018 23:00";"9.3";"763.8";"768.9";"0.6";"82";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"20.0";"";"";"1500-2000";"";"";"";"6.4";"";"";"";"";"";"";
"15.11.2018 21:00";"12.3";"763.8";"768.9";"1.3";"70";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"15.11.2018 20:00";"12.8";"763.2";"768.3";"1.1";"65";"Wind blowing from the east";"3";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"6.4";"No precipitation";"6";"";"";"";"";
"15.11.2018 18:00";"16.3";"762.5";"767.5";"0.4";"53";"Wind blowing from the south-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"15.11.2018 17:00";"18.0";"762.1";"767.1";"0.0";"47";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"6.5";"";"";"";"";"";"";
"15.11.2018 15:00";"18.1";"762.1";"767.1";"-0.5";"46";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"15.11.2018 14:00";"17.6";"762.1";"767.2";"-0.3";"45";"Wind blowing from the south";"4";"";"";"60%.";" ";"Precipitation";"Precipitation";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"5.5";"0.2";"6";"";"";"";"";
"15.11.2018 12:00";"18.3";"762.6";"767.6";"0.1";"45";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"15.11.2018 11:00";"18.6";"762.4";"767.5";"0.0";"40";"Wind blowing from the south-west";"4";"";"";"20–30%.";" ";"";"Precipitation";"11.4";"";"";"";"1500-2000";"";"";"";"4.8";"";"";"";"";"";"";
"15.11.2018 09:00";"16.7";"762.5";"767.5";"1.3";"51";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"15.11.2018 08:00";"15.0";"762.4";"767.4";"1.6";"54";"Wind blowing from the south-southwest";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"600-1000";"";"";"";"5.8";"0.2";"24";"";"";"";"";
"15.11.2018 06:00";"11.8";"761.2";"766.3";"1.5";"82";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"15.11.2018 05:00";"11.8";"760.8";"765.8";"1.4";"83";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"9.0";"";"";"";"";"";"";
"15.11.2018 03:00";"12.0";"759.7";"764.7";"0.6";"83";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"15.11.2018 02:00";"12.3";"759.4";"764.4";"0.4";"83";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"9.5";"No precipitation";"6";"";"";"";"";
"15.11.2018 00:00";"12.3";"759.1";"764.2";"0.3";"91";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"14.11.2018 23:00";"12.4";"759.0";"764.0";"0.8";"90";"Wind blowing from the west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"21.2";"";"";"2000-2500";"";"";"";"10.8";"";"";"";"";"";"";
"14.11.2018 21:00";"13.7";"758.8";"763.9";"1.5";"87";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"14.11.2018 20:00";"14.0";"758.2";"763.3";"1.6";"85";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"11.5";"No precipitation";"6";"";"";"";"";
"14.11.2018 18:00";"13.4";"757.3";"762.3";"1.8";"91";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"";"";"";"";"";"";
"14.11.2018 17:00";"14.7";"756.6";"761.6";"1.1";"82";"Wind blowing from the west-southwest";"8";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"11.7";"";"";"";"";"";"";
"14.11.2018 15:00";"17.4";"755.5";"760.5";"-0.3";"81";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"14.11.2018 14:00";"17.7";"755.5";"760.5";"-0.5";"80";"Wind blowing from the south-west";"5";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"14.2";"0.2";"6";"";"";"";"";
"14.11.2018 12:00";"17.5";"755.8";"760.8";"0.0";"80";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.0";"";"";"";"";"";"";
"14.11.2018 11:00";"16.5";"756.0";"761.0";"0.2";"89";"Wind blowing from the south-west";"4";"";"";"100%.";"Precipitation ";"";"Precipitation";"15.2";"";"";"";"300-600";"";"";"";"14.7";"";"";"";"";"";"";
"14.11.2018 09:00";"15.9";"755.8";"760.8";"0.8";"90";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"14.11.2018 08:00";"15.5";"755.8";"760.8";"1.2";"92";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"";"14.2";"0.6";"24";"";"";"";"";
"14.11.2018 06:00";"15.2";"755.0";"760.0";"1.0";"92";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"14.11.2018 05:00";"15.2";"754.6";"759.6";"1.0";"91";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"9.0";"13.7";"";"";"";"";"";"";
"14.11.2018 03:00";"15.8";"754.0";"759.1";"0.4";"87";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"14.11.2018 02:00";"16.9";"753.6";"758.6";"0.0";"78";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"13.0";"No precipitation";"6";"";"";"";"";
"14.11.2018 00:00";"18.2";"753.6";"758.6";"0.5";"69";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"";"";"";"";"";"";
"13.11.2018 23:00";"18.8";"753.6";"758.6";"1.7";"65";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"";"30.6";"";"";"2500 or more, or no clouds.";"";"";"";"12.1";"";"";"";"";"";"";
"13.11.2018 21:00";"22.4";"753.1";"758.2";"1.8";"51";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"13.11.2018 20:00";"23.3";"751.9";"757.0";"0.9";"46";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.0";"No precipitation";"6";"";"";"";"";
"13.11.2018 18:00";"25.6";"751.3";"756.2";"0.3";"39";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"13.11.2018 17:00";"26.7";"751.0";"755.9";"-0.6";"38";"Wind blowing from the north";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.2";"";"";"";"";"";"";
"13.11.2018 15:00";"28.9";"751.0";"756.0";"-1.8";"34";"Wind blowing from the north";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"13.11.2018 14:00";"27.4";"751.6";"756.7";"-2.1";"36";"Wind blowing from the north-east";"5";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.0";"No precipitation";"6";"";"";"";"";
"13.11.2018 12:00";"26.5";"752.8";"757.8";"-1.6";"34";"Wind blowing from the north-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"13.11.2018 11:00";"23.2";"753.7";"758.7";"-0.3";"48";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"12.3";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.6";"";"";"";"";"";"";
"13.11.2018 09:00";"18.9";"754.4";"759.4";"0.4";"62";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"13.11.2018 08:00";"18.7";"754.0";"759.1";"0.3";"62";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.3";"No precipitation";"24";"";"";"";"";
"13.11.2018 06:00";"14.3";"754.0";"759.0";"0.0";"85";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"13.11.2018 05:00";"13.4";"753.7";"758.8";"-0.6";"86";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"11.1";"";"";"";"";"";"";
"13.11.2018 03:00";"12.9";"754.0";"759.0";"-1.7";"86";"Wind blowing from the north-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"13.11.2018 02:00";"12.9";"754.3";"759.4";"-2.0";"84";"Wind blowing from the north-northeast";"3";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.3";"No precipitation";"6";"";"";"";"";
"13.11.2018 00:00";"14.8";"755.7";"760.7";"-1.6";"78";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"12.11.2018 23:00";"15.4";"756.3";"761.3";"-0.9";"76";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"";"30.4";"";"";"2500 or more, or no clouds.";"";"";"";"11.2";"";"";"";"";"";"";
"12.11.2018 21:00";"18.7";"757.3";"762.4";"0.7";"62";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"12.11.2018 20:00";"20.4";"757.2";"762.2";"0.9";"54";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"10.8";"No precipitation";"6";"";"";"";"";
"12.11.2018 18:00";"23.9";"756.6";"761.6";"0.1";"44";"Wind blowing from the north-east";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"12.11.2018 17:00";"26.6";"756.3";"761.3";"-0.7";"28";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.6";"";"";"";"";"";"";
"12.11.2018 15:00";"27.2";"756.5";"761.5";"-1.2";"21";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"12.11.2018 14:00";"28.2";"757.0";"762.1";"-1.5";"22";"Wind blowing from the west-southwest";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"4.5";"No precipitation";"6";"";"";"";"";
"12.11.2018 12:00";"27.8";"757.7";"762.7";"-1.7";"27";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"12.11.2018 11:00";"25.0";"758.5";"763.6";"-1.2";"43";"Wind blowing from the east";"2";"";"";"";" ";"";"";"9.5";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"12.11.2018 09:00";"19.7";"759.4";"764.5";"-0.5";"62";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"12.11.2018 08:00";"16.7";"759.7";"764.8";"0.0";"73";"Wind blowing from the east-northeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"No precipitation";"24";"";"";"";"";
"12.11.2018 06:00";"12.6";"759.9";"764.9";"0.0";"89";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"12.11.2018 05:00";"11.6";"759.7";"764.8";"-0.6";"92";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"";"10.3";"";"";"";"";"";"";
"12.11.2018 03:00";"12.2";"759.9";"764.9";"-1.2";"90";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"12.11.2018 02:00";"11.5";"760.3";"765.3";"-1.2";"91";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"300-600";"";"";"";"10.1";"No precipitation";"6";"";"";"";"";
"12.11.2018 00:00";"10.2";"761.1";"766.1";"-0.7";"89";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"11.11.2018 23:00";"10.2";"761.5";"766.6";"0.0";"84";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"23.6";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"11.11.2018 21:00";"12.7";"761.8";"766.9";"1.1";"71";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"11.11.2018 20:00";"13.7";"761.5";"766.5";"1.3";"66";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"No precipitation";"6";"";"";"";"";
"11.11.2018 18:00";"17.3";"760.7";"765.7";"1.0";"53";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"11.11.2018 17:00";"19.4";"760.2";"765.2";"0.2";"49";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.4";"";"";"";"";"";"";
"11.11.2018 15:00";"23.5";"759.7";"764.8";"-1.0";"37";"Wind blowing from the north";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"11.11.2018 14:00";"22.2";"760.0";"765.1";"-1.2";"43";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"11.11.2018 12:00";"21.0";"760.7";"765.7";"-0.8";"47";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"11.11.2018 11:00";"18.7";"761.2";"766.3";"-0.5";"52";"Wind blowing from the north-northeast";"3";"";"";"100%.";" ";"";"";"7.5";"";"";"";"1000-1500";"";"";"";"8.7";"";"";"";"";"";"";
"11.11.2018 09:00";"18.4";"761.5";"766.5";"0.3";"50";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"11.11.2018 08:00";"16.3";"761.7";"766.7";"0.9";"54";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"No precipitation";"24";"";"";"";"";
"11.11.2018 06:00";"9.9";"761.2";"766.3";"0.9";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"11.11.2018 05:00";"8.5";"760.8";"765.8";"0.5";"90";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"11.11.2018 03:00";"11.6";"760.3";"765.4";"-0.4";"81";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"11.11.2018 02:00";"11.9";"760.3";"765.4";"-0.7";"81";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"8.7";"No precipitation";"6";"";"";"";"";
"11.11.2018 00:00";"13.1";"760.7";"765.7";"0.0";"74";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"10.11.2018 23:00";"13.6";"761.0";"766.0";"0.8";"71";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"21.6";"";"";"600-1000";"";"";"";"8.4";"";"";"";"";"";"";
"10.11.2018 21:00";"14.4";"760.7";"765.7";"1.7";"71";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"10.11.2018 20:00";"15.2";"760.2";"765.2";"1.8";"69";"Wind blowing from the north-northeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"";"9.6";"No precipitation";"6";"";"";"";"";
"10.11.2018 18:00";"17.2";"759.0";"764.0";"1.0";"58";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"10.11.2018 17:00";"18.5";"758.4";"763.4";"0.4";"57";"Wind blowing from the south-southwest";"6";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"9.8";"";"";"";"";"";"";
"10.11.2018 15:00";"20.6";"758.0";"763.0";"-0.5";"55";"Wind blowing from the south-west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"10.11.2018 14:00";"20.2";"758.0";"763.0";"-0.7";"55";"Wind blowing from the south-southwest";"7";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"10.11.2018 12:00";"21.0";"758.5";"763.5";"-0.5";"44";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"10.11.2018 11:00";"18.9";"758.7";"763.7";"-0.4";"48";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"4.3";"";"";"";"1000-1500";"";"";"";"7.7";"";"";"";"";"";"";
"10.11.2018 09:00";"17.2";"759.0";"764.0";"0.1";"57";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"10.11.2018 08:00";"14.1";"759.1";"764.2";"0.5";"76";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"No precipitation";"24";"";"";"";"";
"10.11.2018 06:00";"7.0";"758.9";"763.9";"0.7";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"10.11.2018 05:00";"4.7";"758.6";"763.6";"0.3";"92";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"10.11.2018 03:00";"6.8";"758.2";"763.2";"-0.7";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"10.11.2018 02:00";"7.2";"758.3";"763.3";"-1.0";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"No precipitation";"6";"";"";"";"";
"10.11.2018 00:00";"10.2";"758.9";"763.9";"-0.7";"87";"Wind blowing from the north-east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"09.11.2018 23:00";"10.8";"759.3";"764.3";"0.5";"83";"Wind blowing from the north-northwest";"1";"";"";"50%.";" ";"";"";"";"19.1";"";"";"2500 or more, or no clouds.";"";"";"";"8.0";"";"";"";"";"";"";
"09.11.2018 21:00";"13.5";"759.6";"764.6";"1.6";"72";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"09.11.2018 20:00";"14.1";"758.8";"763.8";"1.0";"66";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"7.9";"No precipitation";"6";"";"";"";"";
"09.11.2018 18:00";"16.7";"758.0";"763.0";"0.0";"50";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"09.11.2018 17:00";"18.3";"757.8";"762.8";"-0.5";"43";"Wind blowing from the west";"6";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"5.5";"";"";"";"";"";"";
"09.11.2018 15:00";"17.2";"758.0";"763.0";"-1.1";"50";"Wind blowing from the west-northwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.7";"";"";"";"";"";"";
"09.11.2018 14:00";"17.1";"758.3";"763.3";"-1.1";"46";"Wind blowing from the west";"7";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"5.4";"No precipitation";"6";"";"";"";"";
"09.11.2018 12:00";"15.3";"759.1";"764.1";"-0.8";"51";"Wind blowing from the west-northwest";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"09.11.2018 11:00";"14.9";"759.4";"764.5";"-0.6";"58";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"4.1";"";"";"";"1500-2000";"";"";"";"6.7";"";"";"";"";"";"";
"09.11.2018 09:00";"13.6";"759.9";"764.9";"-0.3";"66";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"09.11.2018 08:00";"12.8";"760.0";"765.1";"0.0";"71";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"7.7";"0.6";"24";"";"";"";"";
"09.11.2018 06:00";"7.0";"760.2";"765.2";"0.2";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"09.11.2018 05:00";"5.8";"760.0";"765.1";"0.0";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"4.6";"";"";"";"";"";"";
"09.11.2018 03:00";"4.5";"760.0";"765.0";"-0.5";"91";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"09.11.2018 02:00";"5.8";"760.0";"765.0";"-0.6";"90";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"No precipitation";"6";"";"";"";"";
"09.11.2018 00:00";"8.0";"760.5";"765.5";"-0.3";"86";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"08.11.2018 23:00";"8.1";"760.6";"765.6";"0.3";"83";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"17.4";"";"";"1500-2000";"";"";"";"5.4";"";"";"";"";"";"";
"08.11.2018 21:00";"8.8";"760.8";"765.8";"1.4";"84";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"08.11.2018 20:00";"9.9";"760.3";"765.3";"1.4";"79";"Wind blowing from the south-west";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"";"6.3";"No precipitation";"6";"";"";"";"";
"08.11.2018 18:00";"13.2";"759.4";"764.5";"0.6";"62";"Wind blowing from the south-southwest";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"08.11.2018 17:00";"15.9";"758.9";"763.9";"0.1";"48";"Wind blowing from the west-southwest";"6";"";"";"50%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"4.9";"";"";"";"";"";"";
"08.11.2018 15:00";"16.1";"758.8";"763.8";"-0.6";"45";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"08.11.2018 14:00";"17.3";"758.8";"763.9";"-0.8";"51";"Wind blowing from the west";"7";"";"";"90  or more, but not 100%";" ";"Precipitation";"Precipitation";"";"";"";"";"1000-1500";"";"";"";"7.1";"0.6";"6";"";"";"";"";
"08.11.2018 12:00";"15.0";"759.4";"764.4";"0.3";"62";"Wind blowing from the west";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
