time,latitude,longitude,tasmin_son
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-34.8825235,157.5,1.5451965
2050-01-01T12:00:00Z,-34.8825235,160.3125,1.5449524
2050-01-01T12:00:00Z,-34.8825235,163.125,1.6200256
2050-01-01T12:00:00Z,-34.8825235,165.9375,1.5945129
2050-01-01T12:00:00Z,-34.8825235,168.75,1.5614624
2050-01-01T12:00:00Z,-34.8825235,171.5625,1.5743713
2050-01-01T12:00:00Z,-34.8825235,174.375,1.4325867
2050-01-01T12:00:00Z,-34.8825235,177.1875,1.2359009
2050-01-01T12:00:00Z,-34.8825235,180.0,1.129364
2050-01-01T12:00:00Z,-32.09194639,90.0,1.1731567
2050-01-01T12:00:00Z,-32.09194639,92.8125,1.1966858
2050-01-01T12:00:00Z,-32.09194639,95.625,1.1773682
2050-01-01T12:00:00Z,-32.09194639,98.4375,1.1414795
2050-01-01T12:00:00Z,-32.09194639,101.25,1.0985718
2050-01-01T12:00:00Z,-32.09194639,104.0625,1.0760498
2050-01-01T12:00:00Z,-32.09194639,106.875,1.117279
2050-01-01T12:00:00Z,-32.09194639,109.6875,1.123352
2050-01-01T12:00:00Z,-32.09194639,112.5,1.0474854
2050-01-01T12:00:00Z,-32.09194639,115.3125,1.1585083
2050-01-01T12:00:00Z,-32.09194639,118.125,1.5701599
2050-01-01T12:00:00Z,-32.09194639,120.9375,1.6809387
2050-01-01T12:00:00Z,-32.09194639,123.75,1.4591675
2050-01-01T12:00:00Z,-32.09194639,126.5625,1.2649536
2050-01-01T12:00:00Z,-32.09194639,129.375,1.0064392
2050-01-01T12:00:00Z,-32.09194639,132.1875,1.0098572
2050-01-01T12:00:00Z,-32.09194639,135.0,1.2214355
2050-01-01T12:00:00Z,-32.09194639,137.8125,1.3236694
2050-01-01T12:00:00Z,-32.09194639,140.625,1.3179932
2050-01-01T12:00:00Z,-32.09194639,143.4375,1.433136
2050-01-01T12:00:00Z,-32.09194639,146.25,1.4639587
2050-01-01T12:00:00Z,-32.09194639,149.0625,1.6081543
2050-01-01T12:00:00Z,-32.09194639,151.875,1.760376
2050-01-01T12:00:00Z,-32.09194639,154.6875,1.3927002
2050-01-01T12:00:00Z,-32.09194639,157.5,1.2642212
