time,latitude,longitude,tasmax_mam
UTC,degrees_north,degrees_east,K
2030-01-01T12:00:00Z,-37.67309213,149.0625,0.42352295
2030-01-01T12:00:00Z,-37.67309213,151.875,1.0541077
2030-01-01T12:00:00Z,-37.67309213,154.6875,1.2330017
2030-01-01T12:00:00Z,-37.67309213,157.5,1.2050171
2030-01-01T12:00:00Z,-37.67309213,160.3125,1.196991
2030-01-01T12:00:00Z,-37.67309213,163.125,1.2670593
2030-01-01T12:00:00Z,-37.67309213,165.9375,1.3020935
2030-01-01T12:00:00Z,-37.67309213,168.75,1.3249207
2030-01-01T12:00:00Z,-37.67309213,171.5625,1.3513184
2030-01-01T12:00:00Z,-37.67309213,174.375,1.3702393
2030-01-01T12:00:00Z,-37.67309213,177.1875,1.3381958
2030-01-01T12:00:00Z,-37.67309213,180.0,1.0552368
2030-01-01T12:00:00Z,-34.8825235,90.0,0.8248596
2030-01-01T12:00:00Z,-34.8825235,92.8125,0.8272095
2030-01-01T12:00:00Z,-34.8825235,95.625,0.82684326
2030-01-01T12:00:00Z,-34.8825235,98.4375,0.82980347
2030-01-01T12:00:00Z,-34.8825235,101.25,0.80737305
2030-01-01T12:00:00Z,-34.8825235,104.0625,0.76730347
2030-01-01T12:00:00Z,-34.8825235,106.875,0.7453613
2030-01-01T12:00:00Z,-34.8825235,109.6875,0.6826477
2030-01-01T12:00:00Z,-34.8825235,112.5,0.6624756
2030-01-01T12:00:00Z,-34.8825235,115.3125,0.7520752
2030-01-01T12:00:00Z,-34.8825235,118.125,0.7875366
2030-01-01T12:00:00Z,-34.8825235,120.9375,0.6663208
2030-01-01T12:00:00Z,-34.8825235,123.75,0.60894775
2030-01-01T12:00:00Z,-34.8825235,126.5625,0.57943726
2030-01-01T12:00:00Z,-34.8825235,129.375,0.497406
2030-01-01T12:00:00Z,-34.8825235,132.1875,0.432312
2030-01-01T12:00:00Z,-34.8825235,135.0,0.49673462
2030-01-01T12:00:00Z,-34.8825235,137.8125,0.70718384
2030-01-01T12:00:00Z,-34.8825235,140.625,0.9242554
2030-01-01T12:00:00Z,-34.8825235,143.4375,0.42767334
2030-01-01T12:00:00Z,-34.8825235,146.25,-0.027404785
2030-01-01T12:00:00Z,-34.8825235,149.0625,0.1335144
2030-01-01T12:00:00Z,-34.8825235,151.875,1.0227356
2030-01-01T12:00:00Z,-34.8825235,154.6875,1.1632385
2030-01-01T12:00:00Z,-34.8825235,157.5,1.1333008
2030-01-01T12:00:00Z,-34.8825235,160.3125,1.1384277
2030-01-01T12:00:00Z,-34.8825235,163.125,1.2083435
2030-01-01T12:00:00Z,-34.8825235,165.9375,1.2394714
2030-01-01T12:00:00Z,-34.8825235,168.75,1.2555847
2030-01-01T12:00:00Z,-34.8825235,171.5625,1.2503662
2030-01-01T12:00:00Z,-34.8825235,174.375,1.1399841
2030-01-01T12:00:00Z,-34.8825235,177.1875,1.0458374
2030-01-01T12:00:00Z,-34.8825235,180.0,0.96850586
2030-01-01T12:00:00Z,-32.09194639,90.0,0.70370483
2030-01-01T12:00:00Z,-32.09194639,92.8125,0.6522522
2030-01-01T12:00:00Z,-32.09194639,95.625,0.614624
2030-01-01T12:00:00Z,-32.09194639,98.4375,0.63946533
2030-01-01T12:00:00Z,-32.09194639,101.25,0.6331482
2030-01-01T12:00:00Z,-32.09194639,104.0625,0.5760498
2030-01-01T12:00:00Z,-32.09194639,106.875,0.5470276
2030-01-01T12:00:00Z,-32.09194639,109.6875,0.54901123
2030-01-01T12:00:00Z,-32.09194639,112.5,0.69210815
2030-01-01T12:00:00Z,-32.09194639,115.3125,0.92477417
2030-01-01T12:00:00Z,-32.09194639,118.125,1.3236084
