time,latitude,longitude,tasmin_djf
UTC,degrees_north,degrees_east,K
2050-01-01T12:00:00Z,-37.67309213,149.0625,2.4355469
2050-01-01T12:00:00Z,-37.67309213,151.875,2.5544739
2050-01-01T12:00:00Z,-37.67309213,154.6875,2.71698
2050-01-01T12:00:00Z,-37.67309213,157.5,2.446167
2050-01-01T12:00:00Z,-37.67309213,160.3125,2.3058472
2050-01-01T12:00:00Z,-37.67309213,163.125,2.4215393
2050-01-01T12:00:00Z,-37.67309213,165.9375,2.4042664
2050-01-01T12:00:00Z,-37.67309213,168.75,2.3710327
2050-01-01T12:00:00Z,-37.67309213,171.5625,2.4158325
2050-01-01T12:00:00Z,-37.67309213,174.375,2.4842224
2050-01-01T12:00:00Z,-37.67309213,177.1875,2.6606445
2050-01-01T12:00:00Z,-37.67309213,180.0,2.1757202
2050-01-01T12:00:00Z,-34.8825235,90.0,1.6011963
2050-01-01T12:00:00Z,-34.8825235,92.8125,1.6532288
2050-01-01T12:00:00Z,-34.8825235,95.625,1.6098022
2050-01-01T12:00:00Z,-34.8825235,98.4375,1.5578918
2050-01-01T12:00:00Z,-34.8825235,101.25,1.4728699
2050-01-01T12:00:00Z,-34.8825235,104.0625,1.3972778
2050-01-01T12:00:00Z,-34.8825235,106.875,1.3129883
2050-01-01T12:00:00Z,-34.8825235,109.6875,1.153656
2050-01-01T12:00:00Z,-34.8825235,112.5,1.2132263
2050-01-01T12:00:00Z,-34.8825235,115.3125,1.4449463
2050-01-01T12:00:00Z,-34.8825235,118.125,2.0259094
2050-01-01T12:00:00Z,-34.8825235,120.9375,1.3813171
2050-01-01T12:00:00Z,-34.8825235,123.75,1.3137207
2050-01-01T12:00:00Z,-34.8825235,126.5625,1.3344116
2050-01-01T12:00:00Z,-34.8825235,129.375,1.2333069
2050-01-01T12:00:00Z,-34.8825235,132.1875,1.1411743
2050-01-01T12:00:00Z,-34.8825235,135.0,1.3399353
2050-01-01T12:00:00Z,-34.8825235,137.8125,2.153656
2050-01-01T12:00:00Z,-34.8825235,140.625,2.3654785
2050-01-01T12:00:00Z,-34.8825235,143.4375,2.8243408
2050-01-01T12:00:00Z,-34.8825235,146.25,2.9894714
2050-01-01T12:00:00Z,-34.8825235,149.0625,2.8881226
2050-01-01T12:00:00Z,-34.8825235,151.875,2.4148254
2050-01-01T12:00:00Z,-34.8825235,154.6875,2.3397522
2050-01-01T12:00:00Z,-34.8825235,157.5,2.2060547
2050-01-01T12:00:00Z,-34.8825235,160.3125,2.2418213
2050-01-01T12:00:00Z,-34.8825235,163.125,2.3602905
2050-01-01T12:00:00Z,-34.8825235,165.9375,2.4268188
2050-01-01T12:00:00Z,-34.8825235,168.75,2.4490662
2050-01-01T12:00:00Z,-34.8825235,171.5625,2.4554443
2050-01-01T12:00:00Z,-34.8825235,174.375,2.3943787
2050-01-01T12:00:00Z,-34.8825235,177.1875,2.2547607
2050-01-01T12:00:00Z,-34.8825235,180.0,2.0809631
2050-01-01T12:00:00Z,-32.09194639,90.0,1.6623535
2050-01-01T12:00:00Z,-32.09194639,92.8125,1.636383
2050-01-01T12:00:00Z,-32.09194639,95.625,1.5654907
2050-01-01T12:00:00Z,-32.09194639,98.4375,1.4562378
2050-01-01T12:00:00Z,-32.09194639,101.25,1.3416748
2050-01-01T12:00:00Z,-32.09194639,104.0625,1.1808777
2050-01-01T12:00:00Z,-32.09194639,106.875,1.0957031
2050-01-01T12:00:00Z,-32.09194639,109.6875,1.1728516
2050-01-01T12:00:00Z,-32.09194639,112.5,1.3674927
2050-01-01T12:00:00Z,-32.09194639,115.3125,1.6733398
2050-01-01T12:00:00Z,-32.09194639,118.125,2.5013733
2050-01-01T12:00:00Z,-32.09194639,120.9375,2.5003357
2050-01-01T12:00:00Z,-32.09194639,123.75,2.250061
2050-01-01T12:00:00Z,-32.09194639,126.5625,1.9503784
2050-01-01T12:00:00Z,-32.09194639,129.375,1.3060913
2050-01-01T12:00:00Z,-32.09194639,132.1875,1.3605347
2050-01-01T12:00:00Z,-32.09194639,135.0,2.361847
2050-01-01T12:00:00Z,-32.09194639,137.8125,2.863861
2050-01-01T12:00:00Z,-32.09194639,140.625,3.1029663
2050-01-01T12:00:00Z,-32.09194639,143.4375,3.2357483
2050-01-01T12:00:00Z,-32.09194639,146.25,3.1583557
2050-01-01T12:00:00Z,-32.09194639,149.0625,3.1578064
2050-01-01T12:00:00Z,-32.09194639,151.875,2.9299011
2050-01-01T12:00:00Z,-32.09194639,154.6875,2.1222534
2050-01-01T12:00:00Z,-32.09194639,157.5,1.9503479
2050-01-01T12:00:00Z,-32.09194639,160.3125,2.0091858
2050-01-01T12:00:00Z,-32.09194639,163.125,2.0906677
2050-01-01T12:00:00Z,-32.09194639,165.9375,2.1815796
2050-01-01T12:00:00Z,-32.09194639,168.75,2.2620544
2050-01-01T12:00:00Z,-32.09194639,171.5625,2.226715
2050-01-01T12:00:00Z,-32.09194639,174.375,2.1235352
2050-01-01T12:00:00Z,-32.09194639,177.1875,2.0949707
2050-01-01T12:00:00Z,-32.09194639,180.0,2.0150757
2050-01-01T12:00:00Z,-29.30136213,90.0,1.4612732
2050-01-01T12:00:00Z,-29.30136213,92.8125,1.4291077
2050-01-01T12:00:00Z,-29.30136213,95.625,1.3146057
2050-01-01T12:00:00Z,-29.30136213,98.4375,1.2356567
2050-01-01T12:00:00Z,-29.30136213,101.25,1.2045593
2050-01-01T12:00:00Z,-29.30136213,104.0625,1.210022
2050-01-01T12:00:00Z,-29.30136213,106.875,1.3308105
2050-01-01T12:00:00Z,-29.30136213,109.6875,1.3684692
2050-01-01T12:00:00Z,-29.30136213,112.5,1.5544434
2050-01-01T12:00:00Z,-29.30136213,115.3125,2.4311829
2050-01-01T12:00:00Z,-29.30136213,118.125,2.828949
2050-01-01T12:00:00Z,-29.30136213,120.9375,2.7946167
2050-01-01T12:00:00Z,-29.30136213,123.75,2.60083
2050-01-01T12:00:00Z,-29.30136213,126.5625,2.3721313
2050-01-01T12:00:00Z,-29.30136213,129.375,2.060852
2050-01-01T12:00:00Z,-29.30136213,132.1875,2.364502
2050-01-01T12:00:00Z,-29.30136213,135.0,3.061554
2050-01-01T12:00:00Z,-29.30136213,137.8125,3.15625
2050-01-01T12:00:00Z,-29.30136213,140.625,3.2062378
2050-01-01T12:00:00Z,-29.30136213,143.4375,3.3306885
2050-01-01T12:00:00Z,-29.30136213,146.25,3.369751
2050-01-01T12:00:00Z,-29.30136213,149.0625,3.2635498
2050-01-01T12:00:00Z,-29.30136213,151.875,2.7945557
2050-01-01T12:00:00Z,-29.30136213,154.6875,2.022461
2050-01-01T12:00:00Z,-29.30136213,157.5,1.8685913
2050-01-01T12:00:00Z,-29.30136213,160.3125,2.117981
2050-01-01T12:00:00Z,-29.30136213,163.125,2.1984558
2050-01-01T12:00:00Z,-29.30136213,165.9375,2.2073364
2050-01-01T12:00:00Z,-29.30136213,168.75,2.1827393
2050-01-01T12:00:00Z,-29.30136213,171.5625,2.1238708
2050-01-01T12:00:00Z,-29.30136213,174.375,2.0862427
2050-01-01T12:00:00Z,-29.30136213,177.1875,2.0453796
2050-01-01T12:00:00Z,-29.30136213,180.0,1.9957886
2050-01-01T12:00:00Z,-26.51077183,90.0,1.479065
2050-01-01T12:00:00Z,-26.51077183,92.8125,1.4422607
2050-01-01T12:00:00Z,-26.51077183,95.625,1.4180908
2050-01-01T12:00:00Z,-26.51077183,98.4375,1.4040527
2050-01-01T12:00:00Z,-26.51077183,101.25,1.4065857
2050-01-01T12:00:00Z,-26.51077183,104.0625,1.4061584
2050-01-01T12:00:00Z,-26.51077183,106.875,1.3735657
2050-01-01T12:00:00Z,-26.51077183,109.6875,1.3301697
2050-01-01T12:00:00Z,-26.51077183,112.5,1.5583191
2050-01-01T12:00:00Z,-26.51077183,115.3125,2.7044983
2050-01-01T12:00:00Z,-26.51077183,118.125,2.910614
2050-01-01T12:00:00Z,-26.51077183,120.9375,2.9459534
2050-01-01T12:00:00Z,-26.51077183,123.75,3.087677
2050-01-01T12:00:00Z,-26.51077183,126.5625,3.0574036
2050-01-01T12:00:00Z,-26.51077183,129.375,3.050354
2050-01-01T12:00:00Z,-26.51077183,132.1875,3.1178894
2050-01-01T12:00:00Z,-26.51077183,135.0,3.1305237
2050-01-01T12:00:00Z,-26.51077183,137.8125,3.1330872
2050-01-01T12:00:00Z,-26.51077183,140.625,3.215973
2050-01-01T12:00:00Z,-26.51077183,143.4375,3.1254272
2050-01-01T12:00:00Z,-26.51077183,146.25,3.0830383
2050-01-01T12:00:00Z,-26.51077183,149.0625,2.9508667
2050-01-01T12:00:00Z,-26.51077183,151.875,2.463623
2050-01-01T12:00:00Z,-26.51077183,154.6875,1.9954834
2050-01-01T12:00:00Z,-26.51077183,157.5,2.1020813
